island,site,species,plantdt,trt,numplant,checkdt,alive,dead,propalive,deer abundance,pig abundance
rota,midfig,carica,10-Apr,ungulate,9,10-Oct,0,9,0,high,high
rota,midfig,carica,10-Apr,fenced,9,10-Oct,0,9,0,high,high
rota,palie,aglaia,NA,ungulate,14,7-Jul-11,9,5,0.642857143,low,low
rota,palie,morinda,NA,ungulate,11,7-Jul-11,4,7,0.363636364,low,low
rota,palie,neiso,NA,ungulate,9,7-Jul-11,5,4,0.555555556,low,low
rota,palie,premna,NA,ungulate,14,7-Jul-11,0,14,0,low,low
rota,palie,psychotria,9-Feb-11,ungulate,14,7-Jul-11,11,3,0.785714286,low,low
rota,palie,aglaia,NA,fenced,14,7-Jul-11,13,1,0.928571429,low,low
rota,palie,morinda,NA,fenced,11,7-Jul-11,11,0,1,low,low
rota,palie,neiso,NA,fenced,9,7-Jul-11,7,2,0.777777778,low,low
rota,palie,premna,NA,fenced,14,7-Jul-11,6,8,0.428571429,low,low
rota,palie,psychotria,9-Feb-11,fenced,14,7-Jul-11,14,0,1,low,low
rota,palie,carica,10-Apr,ungulate,9,10-Oct,6,3,0.666666667,low,low
rota,palie,carica,10-Apr,fenced,9,10-Oct,7,2,0.777777778,low,low
rota,paliw,carica,10-Apr,ungulate,9,10-Oct,6,3,0.666666667,low,low
rota,paliw,carica,10-Apr,fenced,9,10-Oct,5,4,0.555555556,low,low
rota,paliw,aglaia,NA,ungulate,14,7-Jul-11,11,3,0.785714286,low,low
rota,paliw,morinda,NA,ungulate,11,7-Jul-11,2,9,0.181818182,low,low
rota,paliw,neiso,NA,ungulate,9,7-Jul-11,7,2,0.777777778,low,low
rota,paliw,premna,NA,ungulate,14,7-Jul-11,0,14,0,low,low
rota,paliw,psychotria,9-Feb-11,ungulate,14,7-Jul-11,10,4,0.714285714,low,low
rota,paliw,aglaia,NA,fenced,14,7-Jul-11,11,3,0.785714286,low,low
rota,paliw,morinda,NA,fenced,11,7-Jul-11,2,9,0.181818182,low,low
rota,paliw,neiso,NA,fenced,9,7-Jul-11,3,6,0.333333333,low,low
rota,paliw,premna,NA,fenced,14,7-Jul-11,1,13,0.071428571,low,low
rota,paliw,psychotria,9-Feb-11,fenced,14,7-Jul-11,2,12,0.142857143,low,low
