island,site,species,pig,deer,adult,seedlings
guam,anao n,psma,0.442477876,0.737463127,1,0
guam,anao s,psma,0.256410256,0.769230769,0,0
guam,gw,psma,0.0001,0.0001,0,0
guam,hmu,psma,0.0001,0.25974026,0,0
guam,nblas,psma,0.0001,0.444444444,2,0
guam,nw field,psma,0.711743772,14.23487544,0,0
guam,racetrack,psma,2.380952381,1.428571429,0,0
guam,ritd gate,psma,1.353965184,4.835589942,0,17
guam,ritd grid,psma,1.035196687,12.83643892,1,0
guam,sblas,psma,0.444444444,1.777777778,0,0
guam,switchbacks,psma,1.10864745,10.86474501,0,0
guam,tangison,psma,0.258397933,0.0001,0,0
guam,tartop,psma,0.787401575,23.22834646,10,13
rota,bird,psma,0.0001,4.923076923,24,7
rota,cross,psma,0.189753321,0.189753321,0,0
rota,gravelpit,psma,1.133144476,4.249291785,14,4
rota,jcs,psma,0.340136054,1.360544218,24,8
rota,midfig,psma,2.083333333,5.729166667,1,0
rota,palii north,psma,0.0001,0.0001,14,62
rota,palii south,psma,0.239808153,0.71942446,5,13
