,island,site,species,trt,plantdt,checkdt,numplant,alive,dead,deer.abundance,pig.abundance,growtime,growtime_st,survival.1,survival.2,propalive
53,guam,racefr,carica,ungulate,4/10/2010,10/10/2010,14,10,4,low,low,183 days,-0.53944654,10,4,0.71428571
54,guam,ritdgate,carica,ungulate,4/10/2010,10/10/2010,14,2,12,high,high,183 days,-0.53944654,2,12,0.14285714
55,guam,ritdgrid,carica,ungulate,4/10/2010,10/10/2010,14,1,13,high,high,183 days,-0.53944654,1,13,0.07142857
56,guam,sblas,carica,ungulate,4/10/2010,10/10/2010,14,0,14,high,low,183 days,-0.53944654,0,14,0
57,guam,ann,morinda,ungulate,6/17/2010,6/30/2011,14,10,4,low,high,378 days,1.29258771,10,4,0.71428571
58,guam,ans,morinda,ungulate,6/17/2010,6/30/2011,14,11,3,low,low,378 days,1.29258771,11,3,0.78571429
59,guam,nblas,morinda,ungulate,6/17/2010,6/30/2011,14,13,1,low,low,378 days,1.29258771,13,1,0.92857143
60,guam,race,morinda,ungulate,6/24/2010,7/1/2011,14,11,3,high,high,372 days,1.23621743,11,3,0.78571429
61,guam,racefr,morinda,ungulate,6/24/2010,7/1/2011,14,11,3,low,low,372 days,1.23621743,11,3,0.78571429
62,guam,ritdgate,morinda,ungulate,11/13/2010,7/1/2011,14,5,9,high,high,230 days,-0.09787931,5,9,0.35714286
63,guam,ritdgrid,morinda,ungulate,6/17/2010,7/1/2011,14,5,9,high,high,379 days,1.30198276,5,9,0.35714286
64,guam,sblas,morinda,ungulate,6/17/2010,6/30/2011,14,2,12,high,low,378 days,1.29258771,2,12,0.14285714
65,guam,ann,psychotria,ungulate,3/10/2011,6/30/2011,14,8,6,low,high,112 days,-1.20649491,8,6,0.57142857
66,guam,ans,psychotria,ungulate,3/10/2011,6/30/2011,14,4,10,low,low,112 days,-1.20649491,4,10,0.28571429
67,guam,nblas,psychotria,ungulate,3/9/2011,6/30/2011,14,5,9,low,low,113 days,-1.19709986,5,9,0.35714286
68,guam,race,psychotria,ungulate,3/9/2011,7/1/2011,14,11,3,high,high,114 days,-1.18770482,11,3,0.78571429
69,guam,racefr,psychotria,ungulate,3/11/2011,7/1/2011,14,4,10,low,low,112 days,-1.20649491,4,10,0.28571429
70,guam,ritdgate,psychotria,ungulate,3/11/2011,7/1/2011,14,11,3,high,high,112 days,-1.20649491,11,3,0.78571429
71,guam,ritdgrid,psychotria,ungulate,3/12/2011,7/1/2011,14,6,8,high,high,111 days,-1.21588996,6,8,0.42857143
72,guam,sblas,psychotria,ungulate,3/12/2011,6/30/2011,14,5,9,high,low,110 days,-1.22528501,5,9,0.35714286
73,guam,ann,premna,ungulate,12/4/2010,6/30/2011,14,0,14,low,high,208 days,-0.30457036,0,14,0
74,guam,ans,premna,ungulate,12/4/2010,6/30/2011,14,0,14,low,low,208 days,-0.30457036,0,14,0
75,guam,nblas,premna,ungulate,12/7/2010,6/30/2011,14,2,12,low,low,205 days,-0.3327555,2,12,0.14285714
76,guam,race,premna,ungulate,12/7/2010,7/1/2011,14,8,6,high,high,206 days,-0.32336045,8,6,0.57142857
