"plant_spp","date_collected","site","date_planted","ung_spp","scat_id","last_count","date_lastcount","native_exotic","vegsite_match","x","prop_scat"
"Morinda citrifolia","6/2/2010","Anao grid","6/2/2010","pig","SS3",7,"11/1/2010","native","anao n",20,0.555555555555556
"Morinda citrifolia","6/4/2010","Ritd pig highway","6/4/2010","pig","SS7",184,"11/1/2010","native","ritd gate",20,0.555555555555556
"Morinda citrifolia","1/7/2011","S. Blas trail","1/11/2011","pig","SS17",11,"6/12/2011","native","sblas",20,0.555555555555556
"na","10/15/2010","Ritd gate trail","10/20/2010","pig","SS11",0,"6/12/2011","na","ritd gate",11,0.305555555555556
"na","12/20/2010","Race Int my plot","1/6/2011","pig","SS15",0,"6/12/2011","na","racetrack",11,0.305555555555556
"na","6/9/2010","S. Blas","6/9/2010","pig","SS9",0,"11/1/2010","na","sblas",11,0.305555555555556
"na","12/30/2010","Race Grid Trail","1/6/2011","pig","SS14",0,"6/12/2011","na","racetrack",11,0.305555555555556
"na","1/12/2011","Ritd north","1/25/2011","pig","SS18",0,"6/12/2011","na","ritd grid",11,0.305555555555556
"na","4/12/2011","Anao grid","4/20/2011","pig","SS23",0,"6/12/2011","na","anao n",11,0.305555555555556
"na","12/30/2010","Race Frag","1/6/2011","pig","SS13",0,"6/12/2011","na","racetrack",11,0.305555555555556
"na","3/31/2011","Anao grid","4/5/2011","pig","SS21",0,"6/12/2011","na","anao n",11,0.305555555555556
"na","9/24/2010","S. Blas","10/5/2010","pig","SS10",0,"6/12/2011","na","sblas",11,0.305555555555556
"na","4/12/2011","Anao grid","4/20/2011","pig","SS24",0,"6/12/2011","na","anao n",11,0.305555555555556
"na","4/12/2011","Ritd grid","4/20/2011","pig","SS25",0,"6/12/2011","na","ritd grid",11,0.305555555555556
"Passiflora sp.","2/18/2010","Ritd gate","2/18/2010","pig","pig24",1,"4/10/2010","exotic","ritd gate",3,0.0833333333333333
"Passiflora sp.","2/18/2010","Ritd gate","2/18/2010","pig","pig23",3,"4/10/2010","exotic","ritd gate",3,0.0833333333333333
"Passiflora sp.","2/18/2010","Ritd gate","2/18/2010","pig","pig26",9,"4/10/2010","exotic","ritd gate",3,0.0833333333333333
"unidentified","6/2/2010","Anao grid","6/2/2010","pig","SS3",1,"11/1/2010","unknown","anao n",4,0.111111111111111
"unidentified","6/2/2010","Anao grid","6/2/2010","pig","SS4",1,"11/1/2010","unknown","anao n",4,0.111111111111111
"unidentified","6/2/2010","Anao grid","6/2/2010","pig","SS1",5,"11/1/2010","unknown","anao n",4,0.111111111111111
"unidentified","3/31/2011","Anao grid","4/5/2011","pig","SS22",1,"6/12/2011","unknown","anao n",4,0.111111111111111
