island,site,species,plantdt,trt,numplant,checkdt,alive,dead,deer abundance,pig abundance,growtime
guam,ritdgrid,premna,12/8/2010,fenced,14,7/1/2011,0,14,high,high,205
guam,ritdgrid,premna,12/8/2010,ungulate,14,7/1/2011,4,10,high,high,205
guam,sblas,premna,12/7/2010,fenced,14,6/30/2011,9,5,high,low,205
guam,sblas,premna,12/7/2010,ungulate,14,6/30/2011,1,13,high,low,205
guam,ann,psychotria,3/10/2011,fenced,14,6/30/2011,12,2,low,high,112
guam,ann,psychotria,3/10/2011,ungulate,14,6/30/2011,8,6,low,high,112
guam,ans,psychotria,3/10/2011,fenced,14,6/30/2011,6,8,low,low,112
guam,ans,psychotria,3/10/2011,ungulate,14,6/30/2011,4,10,low,low,112
guam,nblas,psychotria,3/9/2011,fenced,14,6/30/2011,12,2,low,low,113
guam,nblas,psychotria,3/9/2011,ungulate,14,6/30/2011,5,9,low,low,113
guam,race,psychotria,3/9/2011,fenced,14,7/1/2011,14,0,high,high,114
guam,race,psychotria,3/9/2011,ungulate,14,7/1/2011,11,3,high,high,114
guam,racefr,psychotria,3/11/2011,fenced,14,7/1/2011,5,9,low,low,112
guam,racefr,psychotria,3/11/2011,ungulate,14,7/1/2011,4,10,low,low,112
guam,ritdgate,psychotria,3/11/2011,fenced,14,7/1/2011,14,0,high,high,112
guam,ritdgate,psychotria,3/11/2011,ungulate,14,7/1/2011,11,3,high,high,112
guam,ritdgrid,psychotria,3/12/2011,fenced,14,7/1/2011,13,1,high,high,111
guam,ritdgrid,psychotria,3/12/2011,ungulate,14,7/1/2011,6,8,high,high,111
guam,sblas,psychotria,3/12/2011,fenced,14,6/30/2011,11,3,high,low,110
guam,sblas,psychotria,3/12/2011,ungulate,14,6/30/2011,5,9,high,low,110
